Item_ID|Color_ID|Dimension_ID|Size_ID|SKU_ID|Qty_On_Hand|SFA_Qty_On_Hand|Activity_Type_ID|BusinessUnitID|Available_Date|Ret_Price|Program_Price|Product Description|Mat Status|UPC
||||2010076|0|0|U|POWER||19.95|13.97|PS STAR TOP LINER GREY M|50|843142014753

||||2010077|0|0|U|POWER||19.95|13.97|PS STAR TOP LINER GREY L|50|843142014760

||||2010078|0|0|U|POWER||19.95||PS STAR TOP LINER GREY XL|50|843142014777

||||2010079|0|0|U|POWER||19.95||PS STAR TOP LINER GREY XXL|50|843142014784

||||2010095|0|0|U|POWER||29.95||PS STAR CHEEK PADSET FIRM GREY 35MM XS/S|50|843142014944

||||2010096|0|0|U|POWER||29.95||PS STAR CHEEK PADSET FIRM GREY 40MM XS/S|50|843142014951

||||2010097|0|0|U|POWER||29.95|0.00|PS STAR CHEEK PADSET FIRM GREY 45MM XS/S|50|843142014968

||||2010098|42|42|U|POWER||19.95||PS STAR CHEEK PADSET FIRM GREY 50MM XS/S|50|843142014975

||||2010099|0|0|U|POWER||29.95||PS STAR CHEEK PADSET FIRM GREY 55MM XS/S|50|843142014982

||||2010100|0|0|U|POWER||29.95||PS STAR CHEEK PADSET FIRM GREY 35MM M/L|50|843142014999

||||2010101|0|0|U|POWER||19.95||PS STAR CHEEK PADSET FIRM GREY 40MM M/L|50|843142015002

||||2010102|30|30|U|POWER||19.95||PS STAR CHEEK PADSET FIRM GREY 45MM M/L|50|843142015019

||||2010103|7|7|U|POWER||19.95|13.97|PS STAR CHEEK PADSET FIRM GREY 50MM M/L|50|843142015026

||||2010104|5|5|U|POWER||19.95||PS STAR CHEEK PADSET FIRM GREY 55MM M/L|50|843142015033

||||2010105|0|0|U|POWER||29.95||PS STAR CHK PADSET FIRM GREY 35MM XL/XXL|50|843142015040

||||2010106|0|0|U|POWER||29.95||PS STAR CHK PADSET FIRM GREY 40MM XL/XXL|50|843142015057

||||2010107|0|0|U|POWER||29.95||PS STAR CHK PADSET FIRM GREY 45MM XL/XXL|50|843142015064

||||2010108|0|0|U|POWER||29.95||PS STAR CHK PADSET FIRM GREY 50MM XL/XXL|50|843142015071

||||2010109|0|0|U|POWER||29.95||PS STAR CHK PADSET FIRM GREY 55MM XL/XXL|50|843142015088

||||2010110|0|0|U|POWER||39.95|27.97|PS STAR HINGE PLATE KIT|50|843142015095

||||2010111|126|126|U|POWER||4.95|3.47|PS STAR TRACK STRIP|50|843142015101

||||2010112|90|90|U|POWER||9.95|6.97|PS STAR CHIN CURTAIN/BREATH GUARD|50|843142015118

||||2010113|64|64|U|POWER||9.95|6.97|PS STAR/RS-1/VORTEX BREATH BOX|50|843142015125

||||2010115|0|0|U|POWER||49.95|34.97|PS STAR VENT KIT VIPER|50|843142015149

||||2010116|0|0|U|POWER||49.95|34.97|PS STAR VENT KIT ACE OF SPADES|50|843142015156

||||2010124|23|23|U|POWER||49.95|34.97|PS STAR VENT KIT SOLID MATTE BLACK|50|843142015231

||||2010125|20|20|U|POWER||49.95|34.97|PS STAR VENT KIT SOLID GLOSS BLACK|50|843142015248

||||2010126|39|39|U|POWER||49.95|34.97|PS STAR VENT KIT SOLID SILVER|50|843142015255

||||2010128|0|0|U|POWER||25.95|18.17|PS MOTO-8 VIS/VNT KT NT BRN/LT BLU XS/S|50|843142015279

||||2010129|0|0|U|POWER||25.95|18.17|PS MOTO-8 VIS/VNT KT NT BRN/LT BLU M/L|50|843142015286

||||2010132|0|0|U|POWER||25.95|18.17|PS MOTO-8 VIS/VNT KT NT RED/WHITE M/L|50|843142015316

||||2010133|0|0|U|POWER||25.95|18.17|PS MOTO-8 VIS/VNT KT NT RED/WHITE XL/XXL|50|843142015323

||||2010141|0|0|U|POWER||19.95|13.97|PS MOTO-8 TOP LINER BLACK/BLACK S 08|60|843142015408

||||2010142|0|0|U|POWER||19.95|13.97|PS MOTO-8 TOP LINER BLACK/BLACK M 08|60|843142015415

||||2010165|0|0|U|POWER||14.95|10.47|PS SC-X JR. VISOR PULSE BLACK/SILVER|50|843142015644

||||2010167|0|0|U|POWER||14.95|10.47|PS SC-X JR VISOR MANIC|50|843142015668

||||2010289|0|0|U|POWER||89.95|46.77|PS SHORTY BLACK HIDE XXS 08|60|843142014494

||||2010290|0|0|U|POWER||89.95|46.77|PS SHORTY BLACK HIDE XS 08|60|843142014500

||||2010291|0|0|U|POWER||89.95|46.77|PS SHORTY BLACK HIDE S 08|60|843142014517

||||2010292|0|0|U|POWER||89.95|46.77|PS SHORTY BLACK HIDE M 08|60|843142014524

||||2010293|0|0|U|POWER||89.95|46.77|PS SHORTY BLACK HIDE L 08|60|843142014531

||||2010294|0|0|U|POWER||89.95|46.77|PS SHORTY BLACK HIDE XL 08|60|843142014548

||||2010295|0|0|U|POWER||89.95|46.77|PS SHORTY BLACK HIDE XXL 08|60|843142014555

||||2011342|34|34|U|POWER||39.95|27.97|PS CLICK RELEASE SHIELD YELLOW GRADIENT|50|843142016672

||||2011343|1284|1284|U|POWER||139.95|97.97|PS CLICK RELEASE SHIELD PHOTOCHROMATIC|50|843142016689

|||NA|2011843|0|0|U|POWER||9.95||PS BELL HELMETS PATCH 3.14" x 1.57"|50|843142017303

