Action(SiteID=US|Country=US|Currency=USD|Version=585|CC=ISO-8859-1),ItemID,Title,SiteID,Currency,StartPrice,BuyItNowPrice,Quantity,Relationship,RelationshipDetails,CustomLabel
,,,,,129.00,,6,Variation,"Size=36-36 | Color=Stone Washed",AGT-KAL-FBJN-3636
Revise,142032134944,"AGV Sport Blast Vented Textile Jacket - Black / Red",eBayMotors,USD,,,0,,"Color=Black / Red | Size=Small;XX-Large;XXX-Large;X-Large;Medium;Large",
,,,,,149.00,,3,Variation,"Size=Small | Color=Black / Red",AGT-TBL-BKRD-3S
,,,,,149.00,,6,Variation,"Size=XX-Large | Color=Black / Red",AGT-TBL-BKRD-7XXL
,,,,,149.00,,0,Variation,"Size=XXX-Large | Color=Black / Red",AGT-TBL-BKRD-8XXXL
,,,,,149.00,,6,Variation,"Size=X-Large | Color=Black / Red",AGT-TBL-BKRD-6XL
,,,,,149.00,,4,Variation,"Size=Medium | Color=Black / Red",AGT-TBL-BKRD-4M
,,,,,149.00,,6,Variation,"Size=Large | Color=Black / Red",AGT-TBL-BKRD-5L
Revise,311640116794,"AGV Sport Esprit Ladies Glove - Black / White",eBayMotors,USD,,,0,,"Color=Black / White | Size=Small;Medium;Large;X-Large",
,,,,,44.00,,0,Variation,"Size=Medium | Color=Black / White",AGS-LEP-BKWH-4M
,,,,,44.00,,4,Variation,"Size=Large | Color=Black / White",AGS-LEP-BKWH-5L
,,,,,44.00,,0,Variation,"Size=Small | Color=Black / White",AGS-LEP-BKWH-3S
,,,,,44.00,,6,Variation,"Size=X-Large | Color=Black / White",AGS-LEP-BKWH-6XL
Revise,361608363611,"AGV Sport Lotus Ladies Leather Jacket - Black",eBayMotors,USD,,,0,,"Color=Black | Size=Small;X-Small;X-Large;Medium;Large",
,,,,,219.00,,0,Variation,"Size=Small | Color=Black",AGS-LLO-BKWH-3S
,,,,,219.00,,6,Variation,"Size=X-Small | Color=Black",AGS-LLO-BKWH-2XS
,,,,,219.00,,2,Variation,"Size=X-Large | Color=Black",AGS-LLO-BKWH-6XL
,,,,,219.00,,3,Variation,"Size=Medium | Color=Black",AGS-LLO-BKWH-4M
,,,,,219.00,,6,Variation,"Size=Large | Color=Black",AGS-LLO-BKWH-5L
Revise,142032134943,"AGV Sport Mission Textile Jacket - Black",eBayMotors,USD,,,0,,"Color=Black | Size=Medium;Large;X-Large;XX-Large;XXX-Large;Small",
,,,,,119.00,,6,Variation,"Size=Medium | Color=Black",AGT-TMI-BKBK-4M
,,,,,119.00,,7,Variation,"Size=Large | Color=Black",AGT-TMI-BKBK-5L
,,,,,119.00,,6,Variation,"Size=X-Large | Color=Black",AGT-TMI-BKBK-6XL
,,,,,119.00,,3,Variation,"Size=XX-Large | Color=Black",AGT-TMI-BKBK-7XXL
,,,,,119.00,,6,Variation,"Size=XXX-Large | Color=Black",AGT-TMI-BKBK-8XXXL
,,,,,119.00,,1,Variation,"Size=Small | Color=Black",AGT-TMI-BKBK-3S
Revise,361608363632,"AGV Sport Sky Ladies Textile Jacket - Black / Pink",eBayMotors,USD,,,0,,"Color=Black / Pink | Size=Small;Medium;X-Large;X-Small;Large",
,,,,,129.00,,6,Variation,"Size=Small | Color=Black / Pink",AGS-LST-BKPK-3S
,,,,,129.00,,6,Variation,"Size=Medium | Color=Black / Pink",AGS-LST-BKPK-4M
,,,,,129.00,,4,Variation,"Size=X-Large | Color=Black / Pink",AGS-LST-BKPK-6XL
,,,,,129.00,,0,Variation,"Size=X-Small | Color=Black / Pink",AGS-LST-BKPK-2XS
,,,,,129.00,,5,Variation,"Size=Large | Color=Black / Pink",AGS-LST-BKPK-5L
Revise,142032134948,"AGV Sport Laguna Glove - Black",eBayMotors,USD,,,0,,"Size=XX-Large;Large;Medium;Small;X-Large | Color=Black",
,,,,,99.00,,0,Variation,"Size=XX-Large | Color=Black",AGS-GLG-BKBK-7XXL
,,,,,99.00,,0,Variation,"Size=Large | Color=Black",AGS-GLG-BKBK-5L
,,,,,99.00,,0,Variation,"Size=Medium | Color=Black",AGS-GLG-BKBK-4M
,,,,,99.00,,2,Variation,"Size=Small | Color=Black",AGS-GLG-BKBK-3S
,,,,,99.00,,0,Variation,"Size=X-Large | Color=Black",AGS-GLG-BKBK-6XL
Revise,142032134960,"AGV Sport Mercury Glove - Black / Blue",eBayMotors,USD,,,0,,"Size=Small;Medium;XX-Large;Large;X-Large | Color=Black;Black / Blue",
,,,,,29.00,,6,Variation,"Size=Small | Color=Black",AGT-GMY-BKBL-3S
,,,,,29.00,,2,Variation,"Size=Medium | Color=Black / Blue",AGT-GMY-BKBL-4M
,,,,,29.00,,0,Variation,"Size=XX-Large | Color=Black / Blue",AGT-GMY-BKBL-7XXL
,,,,,29.00,,6,Variation,"Size=Large | Color=Black / Blue",AGT-GMY-BKBL-5L
,,,,,29.00,,0,Variation,"Size=X-Large | Color=Black / Blue",AGT-GMY-BKBL-6XL
Revise,142032134961,"AGV Sport Twist Glove - Blue",eBayMotors,USD,,,0,,"Size=Medium;Small;XX-Large;X-Large;Large | Color=Blue",
,,,,,49.00,,6,Variation,"Size=Medium | Color=Blue",AGS-GTW-BLBL-4M
,,,,,49.00,,6,Variation,"Size=Small | Color=Blue",AGS-GTW-BLBL-3S
,,,,,49.00,,6,Variation,"Size=XX-Large | Color=Blue",AGS-GTW-BLBL-7XXL
,,,,,49.00,,6,Variation,"Size=X-Large | Color=Blue",AGS-GTW-BLBL-6XL
